roastery,coffee_name,origin,region,variety,process,altitude,harvest_year
Blue Bottle Coffee,Three Africas Blend,Blend,Various,Various,Various,Various,2024
Blue Bottle Coffee,Giant Steps,Blend,Various,Various,Various,Various,2024
Blue Bottle Coffee,Hayes Valley Espresso,Blend,Various,Various,Various,Various,2024
Blue Bottle Coffee,Bella Donovan,Ethiopia,Yirgacheffe,Heirloom,Natural,"1,900-2,100m",2024
Intelligentsia Coffee,Black Cat Classic Espresso,Blend,Various,Various,Various,Various,2024
Intelligentsia Coffee,El Diablo Dark Roast,Blend,Various,Various,Various,Various,2024
Intelligentsia Coffee,Frequency Blend,Blend,Various,Various,Various,Various,2024
Intelligentsia Coffee,Ethiopia Yirgacheffe,Ethiopia,Yirgacheffe,Heirloom,Washed,"1,800-2,000m",2024
Go Get Em Tiger,Colombia La Palma,Colombia,Huila,Pink Bourbon,Washed,"1,700m",2024
Go Get Em Tiger,Ethiopia Guji Natural,Ethiopia,Guji,Heirloom,Natural,"2,000-2,200m",2024
Go Get Em Tiger,Guatemala Huehuetenango,Guatemala,Huehuetenango,Bourbon,Washed,"1,500-1,800m",2024
Verve Coffee Roasters,Sermon Espresso,Blend,Various,Various,Various,Various,2024
Verve Coffee Roasters,Streetlevel Espresso,Blend,Various,Various,Various,Various,2024
Verve Coffee Roasters,Kenya Gaturiri AA,Kenya,Nyeri,"SL28, SL34",Washed,"1,700-1,800m",2024
Verve Coffee Roasters,Colombia El Vergel,Colombia,Tolima,Geisha,Washed,"1,900m",2024
Stereoscope Coffee,Ethiopia Worka Sakaro,Ethiopia,Gedeb,Heirloom,Natural,"2,000-2,200m",2024
Stereoscope Coffee,Colombia Finca La Negrita,Colombia,Nariño,Pink Bourbon,Washed,"1,800m",2024
Stereoscope Coffee,Kenya Kiamabara AB,Kenya,Nyeri,"SL28, SL34",Washed,"1,700m",2024
Canyon Coffee,Beachwood Blend,Blend,Various,Various,Various,Various,2024
Canyon Coffee,Ethiopia Shilcho,Ethiopia,Sidama,Heirloom,Washed,"1,900-2,100m",2024
Canyon Coffee,Colombia La Morelia,Colombia,Huila,Pink Bourbon,Natural,"1,750m",2024
Cognoscenti Coffee,Costa Rica Las Lajas,Costa Rica,Central Valley,Red Catuai,Black Honey,"1,500m",2024
Cognoscenti Coffee,Ethiopia Nano Challa,Ethiopia,Agaro,Heirloom,Washed,"1,900-2,100m",2024
Cognoscenti Coffee,Rwanda Kilimbi,Rwanda,Western Province,Red Bourbon,Washed,"1,550-1,800m",2024
Demitasse Coffee,Ethiopia Sidamo,Ethiopia,Sidamo,Heirloom,Natural,"1,850-2,000m",2024
Demitasse Coffee,Colombia Supremo,Colombia,Nariño,Castillo,Washed,"1,800-2,000m",2024
Demitasse Coffee,Guatemala Antigua,Guatemala,Antigua,Bourbon,Washed,"1,500-1,700m",2024
Alana's Coffee Roasters,Ethiopia Yirgacheffe Kochere,Ethiopia,Kochere,Heirloom,Washed,"1,800-2,000m",2024
Alana's Coffee Roasters,Colombia Geisha,Colombia,Huila,Geisha,Washed,"1,800m",2024
Alana's Coffee Roasters,Kenya AA Nyeri,Kenya,Nyeri,"SL28, SL34",Washed,"1,700-1,800m",2024
City Bean Roasters,House Blend,Blend,Various,Various,Various,Various,2024
City Bean Roasters,Ethiopia Natural,Ethiopia,Sidama,Heirloom,Natural,"1,850-2,000m",2024
City Bean Roasters,Colombia Decaf,Colombia,Huila,Castillo,Swiss Water,"1,700m",2024
LAMILL Coffee,Signature Blend,Blend,Various,Various,Various,Various,2024
LAMILL Coffee,Ethiopia Guji,Ethiopia,Guji,Heirloom,Natural,"2,000-2,200m",2024
LAMILL Coffee,Panama Geisha,Panama,Boquete,Geisha,Washed,"1,600-1,800m",2024
Klatch Coffee,World's Best Espresso,Blend,Various,Various,Various,Various,2024
Klatch Coffee,Ethiopia Yirgacheffe,Ethiopia,Yirgacheffe,Heirloom,Washed,"1,900-2,100m",2024
Klatch Coffee,Colombia Huila,Colombia,Huila,Caturra,Washed,"1,700-1,900m",2024
Jones Coffee Roasters,Original Roast,Blend,Various,Various,Various,Various,2024
Jones Coffee Roasters,Guatemala SHB,Guatemala,Huehuetenango,Bourbon,Washed,"1,500-2,000m",2024
Jones Coffee Roasters,Kenya AA,Kenya,Kiambu,"SL28, SL34",Washed,"1,600-1,800m",2024
Groundwork Coffee,Full City Roast,Blend,Various,Various,Various,Various,2024
Groundwork Coffee,Ethiopia Sidamo,Ethiopia,Sidamo,Heirloom,Natural,"1,850-2,000m",2024
Groundwork Coffee,Colombia Organic,Colombia,Sierra Nevada,Typica,Washed,"1,200-1,800m",2024
Caffe Luxxe,Ethiopia Hambela,Ethiopia,Hambela,Heirloom,Natural,"2,000-2,200m",2024
Caffe Luxxe,Colombia Pink Bourbon,Colombia,Huila,Pink Bourbon,Washed,"1,700m",2024
Caffe Luxxe,Costa Rica Tarrazu,Costa Rica,Tarrazu,Catuai,Washed,"1,200-1,900m",2024
