roastery,coffee_name,origin,region,variety,process,altitude,harvest_year
Fritz Coffee Company,Ethiopia Yirgacheffe G1,Ethiopia,Yirgacheffe,Heirloom,Washed,"1,900-2,100m",2024
Fritz Coffee Company,Colombia Geisha,Colombia,Huila,Geisha,Washed,"1,800m",2024
Fritz Coffee Company,Kenya AA Nyeri,Kenya,Nyeri,"SL28, SL34",Washed,"1,700-1,800m",2024
Momos Coffee,Ethiopia Sidamo G2,Ethiopia,Sidamo,Heirloom,Natural,"1,850-2,000m",2024
Momos Coffee,Colombia Supremo,Colombia,Narino,Castillo,Washed,"1,800-2,000m",2024
Center Coffee,Ethiopia Guji Natural,Ethiopia,Guji,Heirloom,Natural,"2,000-2,200m",2024
Center Coffee,Panama Geisha,Panama,Boquete,Geisha,Washed,"1,600-1,800m",2024
Felt Coffee,Ethiopia Kochere,Ethiopia,Kochere,Heirloom,Washed,"1,800-2,000m",2024
Felt Coffee,Colombia Huila,Colombia,Huila,Caturra,Washed,"1,700-1,900m",2024
Coffee Libre,Ethiopia Aricha Natural,Ethiopia,Aricha,Heirloom,Natural,"1,900-2,100m",2024
Coffee Libre,Brazil Pulped Natural,Brazil,Sul de Minas,Yellow Bourbon,Pulped Natural,"1,000-1,200m",2024
Namusairo Coffee,Ethiopia Hambela,Ethiopia,Hambela,Heirloom,Natural,"2,000-2,200m",2024
Namusairo Coffee,Kenya Kiambu AA,Kenya,Kiambu,"SL28, SL34",Washed,"1,600-1,800m",2024
Blue Bottle Coffee,Three Africas,Blend,Various,Various,Various,Various,2024
Blue Bottle Coffee,Giant Steps,Blend,Various,Various,Various,Various,2024
Terarosa Coffee,Ethiopia Yirgacheffe Konga,Ethiopia,Yirgacheffe,Heirloom,Natural,"1,800-2,000m",2024
Terarosa Coffee,Guatemala Finca El Injerto,Guatemala,Huehuetenango,Bourbon,Washed,"1,500-2,000m",2024
